Frequency,Pattern
18,"hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe"
18,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
18,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize"
18,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer"
18,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*"
18,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*"
17,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
17,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize"
17,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*"
17,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
16,"hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*"
16,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
16,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers"
16,"hklm\software\microsoft\sqmclient\windows,c:\windows\fonts"
16,"hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\wininit.exe"
15,"hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe"
15,"c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*"
15,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*"
15,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
15,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
15,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts"
15,"c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*"
15,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys"
14,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*"
14,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
14,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys"
14,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*"
14,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows"
14,"hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc"
14,"hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe"
14,"c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\wininit.exe"
14,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys"
14,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers"
14,"hklm\software\microsoft\sqmclient\windows\*,c:\windows\fonts"
14,"c:\$directory,c:\windows\systemresources\win32kbase.sys.mun"
13,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*"
13,"hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*"
13,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
13,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts"
13,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*"
13,"c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys"
13,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory"
13,"hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*"
13,"hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers"
13,"hklm\system\currentcontrolset\control\pnp\*,hklm\system\currentcontrolset\control\graphicsdrivers"
13,"c:\$directory,c:\windows\fonts"
12,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer"
12,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
12,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
12,"hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe"
12,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*"
12,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc"
12,"hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
12,"hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe"
12,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys"
12,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
12,"c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys"
12,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers"
12,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
12,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun"
12,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*"
12,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*"
12,"c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts"
11,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize"
11,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
11,"hklm\system\currentcontrolset\control\session manager\*,c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*"
11,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
11,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory"
11,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
11,"hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc"
11,"c:\$directory,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows"
11,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*"
11,"hklm\software\microsoft\sqmclient\windows\*,c:\windows\fonts,hklm\software\policies\microsoft\windows\*"
11,"c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts"
10,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe"
10,"hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe"
10,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
10,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*"
10,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
10,"hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*"
10,"hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe"
10,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
10,"c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys"
10,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
10,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun"
10,"hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe,c:\windows\system32\wininit.exe"
10,"c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers"
10,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*"
10,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
10,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*"
10,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc"
10,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,hklm\system\currentcontrolset\control\graphicsdrivers"
10,"c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows"
10,"hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*"
10,"hklm\system\currentcontrolset\control\pnp\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*"
9,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
9,"hklm\system\currentcontrolset\control\session manager,hklm\system\currentcontrolset\control\session manager\*,c:\windows,hklm\system\currentcontrolset\control\wmi\*,hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*"
9,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
9,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
9,"c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
9,"c:\$directory,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc"
9,"hklm\software\microsoft\windows nt\currentversion\*,hklm\system\currentcontrolset\control\pnp,hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*"
9,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts"
9,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts"
9,"c:\$directory,c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows"
9,"hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
9,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\win32k.sys,c:\windows\system32\win32kbase.sys"
9,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys"
9,"hklm\system\currentcontrolset\control\pnp\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
9,"hklm\software\microsoft\sqmclient\windows\*,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc"
8,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*"
8,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*"
8,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*"
8,"hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe"
8,"hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe"
8,"hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*,hklm\system\currentcontrolset\control\notifications\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*,c:\windows\system32\csrss.exe,c:\windows\system32\wininit.exe"
8,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
8,"c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
8,"hklm\system\currentcontrolset\control\pnp\*,c:\windows\system32\win32k.sys,c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys"
8,"c:\windows\system32\win32k.sys,c:\windows\system32\catroot\{*}\*,c:\windows\system32\win32kbase.sys,c:\windows\system32\win32kfull.sys,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*"
8,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\$directory"
8,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,c:\windows\system32\dwminit.dll,hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts"
8,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc"
8,"hklm\software\microsoft\sqmclient\windows,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
8,"c:\windows\systemresources\win32kbase.sys.mun,c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\currentcontrolset\control\windows,hklm\system\currentcontrolset\control\windows\*,hklm\system\wpa\tabletpc"
8,"hklm\system\currentcontrolset\control\wmi\*,hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
